,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
821,0.8901631832122803,12,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
659,0.8581339120864868,8,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0
1582,0.9130861759185792,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
692,0.9161439538002014,13,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0
1179,0.8983471393585205,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
1662,0.8635115623474121,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
2645,0.8708765506744385,14,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
1585,0.863038957118988,19,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2358,0.848824143409729,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
1265,0.9004576802253723,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
432,0.863964855670929,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0
1882,0.9333889484405518,11,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0
558,0.8690390586853027,10,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
