,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Step1,step_Step50+sbeam8
437,12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
577,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
468,13,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
602,17,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
114,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
203,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
141,5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0
442,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
7,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
531,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
19,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
172,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
465,6,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
56,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
431,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
344,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
464,19,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
444,13,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
318,4,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
49,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
272,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
25,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
456,14,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0
220,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
356,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
595,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
245,7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
42,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0
428,16,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
411,10,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
409,15,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
289,15,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0
552,19,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
487,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
423,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
154,12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0
126,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
352,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
113,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
173,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
57,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
329,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
222,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
17,8,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
305,7,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
255,14,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0
312,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
584,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
190,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
462,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0.0
537,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
277,12,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0
94,13,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
180,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1.0
447,5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
336,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
319,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
5,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
45,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
300,19,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
399,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
390,17,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0
16,14,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
48,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
590,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
501,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
334,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
451,10,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
598,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
446,18,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
316,8,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
225,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
26,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
436,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
263,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
50,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
229,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
37,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0
157,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
237,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
585,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
175,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
513,15,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0
357,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
194,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
515,10,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
333,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
589,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
521,11,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
67,6,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
327,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
168,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
332,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
162,13,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
309,15,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
193,14,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
152,8,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,0.0
335,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
346,18,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
499,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
341,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
103,9,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
402,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
74,16,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0
434,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
