model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",pan_Guru,Base,"{'jpn_Jpan': 0.33, 'cmn_Hani': 0.46, 'eng_Latn': 0.09}",0.8554432392120361,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",tur_Latn,Step1,"{'jpn_Jpan': 0.37, 'tur_Latn': 0.14, 'eng_Latn': 0.16, 'cmn_Hani': 0.08}",0.8667924404144287,17,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",tur_Latn,Step50+sbeam8,"{'jpn_Jpan': 0.34, 'tur_Latn': 0.1, 'cmn_Hani': 0.12, 'eng_Latn': 0.17}",0.8308515548706055,17,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",tur_Latn,Base,"{'jpn_Jpan': 0.41, 'tur_Latn': 0.1, 'eng_Latn': 0.18}",0.8559980392456055,17,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",kaz_Cyrl,Step1,"{'eng_Latn': 0.16, 'cmn_Hani': 0.53, 'jpn_Jpan': 0.1}",0.8705863356590271,10,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",kaz_Cyrl,Step50+sbeam8,"{'eng_Latn': 0.16, 'cmn_Hani': 0.54, 'jpn_Jpan': 0.07}",0.871009886264801,10,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",kaz_Cyrl,Base,"{'eng_Latn': 0.23, 'jpn_Jpan': 0.31, 'cmn_Hani': 0.22}",0.8426529169082642,10,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",cmn_Hani,Step1,{'cmn_Hani': 0.89},0.9548758268356324,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",cmn_Hani,Step50+sbeam8,{'cmn_Hani': 0.88},0.9476442337036132,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",cmn_Hani,Base,{'cmn_Hani': 0.9},0.9474896788597108,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",jpn_Jpan,Step1,"{'jpn_Jpan': 0.79, 'cmn_Hani': 0.14}",0.9698201417922974,9,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",jpn_Jpan,Step50+sbeam8,"{'jpn_Jpan': 0.78, 'cmn_Hani': 0.13}",0.9665595293045044,9,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
